shelf_id,batch_code,item_category,item_subcategory,standard_batch_size,received_date,expiry_date,batch_quantity_total,batch_quantity_store,batch_quantity_warehouse,location
BEVWAT1,B-4536,BEVERAGES,Water,30,2025-11-25,2027-03-27,26,26,0,in-store
BEVWAT2,B-5314,BEVERAGES,Water,24,2025-11-23,2027-10-01,24,24,0,in-store
BEVWAT2,B-9505,BEVERAGES,Water,24,2025-11-24,2027-09-06,16,16,0,in-store
BEVWAT3,B-2402,BEVERAGES,Water,30,2025-11-25,2027-06-30,30,30,0,in-store
BEVWAT3,B-9226,BEVERAGES,Water,30,2025-11-26,2027-12-11,7,7,0,in-store
BEVWAT4,B-7030,BEVERAGES,Water,30,2025-11-24,2027-02-03,30,30,0,in-store
BEVWAT4,B-6503,BEVERAGES,Water,30,2025-11-24,2027-04-23,24,24,0,in-store
BEVWAT5,B-3092,BEVERAGES,Water,36,2025-11-24,2027-02-14,36,36,0,in-store
BEVWAT5,B-2484,BEVERAGES,Water,36,2025-11-26,2028-02-27,10,10,0,in-store
BEVWAT6,B-7326,BEVERAGES,Water,42,2025-11-25,2027-09-26,42,42,0,in-store
BEVWAT6,B-6187,BEVERAGES,Water,42,2025-11-24,2028-01-25,3,3,0,in-store
BEVWAT7,B-8472,BEVERAGES,Water,48,2025-11-25,2027-11-17,42,42,0,in-store
BEVWAT8,B-2015,BEVERAGES,Water,18,2025-11-23,2027-02-25,18,18,0,in-store
BEVWAT8,B-9876,BEVERAGES,Water,18,2025-11-26,2027-06-08,15,15,0,in-store
BEVWAT9,B-9560,BEVERAGES,Water,24,2025-11-23,2027-09-06,24,24,0,in-store
BEVWAT9,B-7047,BEVERAGES,Water,24,2025-11-24,2027-12-09,7,7,0,in-store
BEVWAT10,B-7216,BEVERAGES,Water,60,2025-11-25,2027-10-14,58,58,0,in-store
BEVWAT11,B-5117,BEVERAGES,Water,36,2025-11-26,2026-12-01,30,30,0,in-store
BEVWAT12,B-8539,BEVERAGES,Water,30,2025-11-26,2027-05-23,27,27,0,in-store
BEVWAT13,B-6348,BEVERAGES,Water,24,2025-11-24,2027-05-29,19,19,0,in-store
BEVWAT14,B-3472,BEVERAGES,Water,48,2025-11-26,2026-12-14,45,45,0,in-store
BEVWAT15,B-5767,BEVERAGES,Water,24,2025-11-25,2027-06-29,24,24,0,in-store
BEVWAT15,B-6149,BEVERAGES,Water,24,2025-11-26,2027-12-03,17,17,0,in-store
BEVWAT16,B-5974,BEVERAGES,Water,36,2025-11-25,2027-03-26,36,36,0,in-store
BEVWAT16,B-7846,BEVERAGES,Water,36,2025-11-25,2028-02-22,3,3,0,in-store
BEVWAT17,B-6568,BEVERAGES,Water,42,2025-11-25,2027-04-16,38,38,0,in-store
BEVWAT18,B-5213,BEVERAGES,Water,36,2025-11-26,2027-02-19,30,30,0,in-store
BEVWAT19,B-9046,BEVERAGES,Water,24,2025-11-24,2027-03-16,24,24,0,in-store
BEVWAT19,B-9897,BEVERAGES,Water,24,2025-11-25,2028-02-27,24,24,0,in-store
BEVWAT20,B-5581,BEVERAGES,Water,42,2025-11-25,2027-04-04,41,41,0,in-store
BEVWAT21,B-2967,BEVERAGES,Water,24,2025-11-23,2027-09-05,24,24,0,in-store
BEVWAT21,B-6080,BEVERAGES,Water,24,2025-11-26,2027-10-20,5,5,0,in-store
BEVWAT22,B-4128,BEVERAGES,Water,48,2025-11-25,2027-11-03,48,48,0,in-store
BEVWAT22,B-6822,BEVERAGES,Water,48,2025-11-24,2027-10-07,1,1,0,in-store
BEVWAT23,B-9219,BEVERAGES,Water,42,2025-11-25,2027-07-26,38,38,0,in-store
BEVWAT24,B-2344,BEVERAGES,Water,42,2025-11-23,2026-12-21,42,42,0,in-store
BEVWAT24,B-5668,BEVERAGES,Water,42,2025-11-25,2028-01-29,11,11,0,in-store
BEVWAT25,B-8680,BEVERAGES,Water,36,2025-11-24,2027-05-29,36,36,0,in-store
BEVWAT25,B-6530,BEVERAGES,Water,36,2025-11-24,2027-11-03,5,5,0,in-store
BEVWAT26,B-6171,BEVERAGES,Water,42,2025-11-26,2026-12-12,29,29,0,in-store
BEVWAT27,B-7593,BEVERAGES,Water,60,2025-11-24,2027-05-08,53,53,0,in-store
BEVWAT28,B-1350,BEVERAGES,Water,36,2025-11-25,2026-12-27,36,36,0,in-store
BEVWAT29,B-3552,BEVERAGES,Water,30,2025-11-23,2027-06-14,30,30,0,in-store
BEVWAT29,B-2051,BEVERAGES,Water,30,2025-11-26,2028-02-04,9,9,0,in-store
BEVWAT30,B-8510,BEVERAGES,Water,42,2025-11-24,2027-10-28,38,38,0,in-store
BEVWAT31,B-4558,BEVERAGES,Water,18,2025-11-23,2026-12-26,18,18,0,in-store
BEVWAT31,B-9298,BEVERAGES,Water,18,2025-11-23,2027-06-20,18,18,0,in-store
BEVWAT31,B-7222,BEVERAGES,Water,18,2025-11-26,2027-10-08,2,2,0,in-store
BEVWAT32,B-1022,BEVERAGES,Water,36,2025-11-25,2027-07-12,27,27,0,in-store
BEVWAT33,B-5795,BEVERAGES,Water,60,2025-11-26,2027-06-10,51,51,0,in-store
BEVWAT34,B-6785,BEVERAGES,Water,48,2025-11-25,2027-06-30,34,34,0,in-store
BEVWAT35,B-4758,BEVERAGES,Water,30,2025-11-23,2027-06-08,30,30,0,in-store
