shelf_id,batch_code,item_category,item_subcategory,standard_batch_size,received_date,expiry_date,batch_quantity_total,batch_quantity_store,batch_quantity_warehouse,location
BEVWAT1,B-1149,BEVERAGES,Water,30,2025-11-23,2027-03-07,30,0,30,warehouse
BEVWAT1,B-4225,BEVERAGES,Water,30,2025-11-24,2027-08-22,30,0,30,warehouse
BEVWAT1,B-8370,BEVERAGES,Water,30,2025-11-24,2028-02-18,30,0,30,warehouse
BEVWAT2,B-9364,BEVERAGES,Water,24,2025-11-24,2027-02-04,24,0,24,warehouse
BEVWAT3,B-9546,BEVERAGES,Water,30,2025-11-24,2026-12-25,30,0,30,warehouse
BEVWAT3,B-9924,BEVERAGES,Water,30,2025-11-26,2027-08-06,30,0,30,warehouse
BEVWAT4,B-6217,BEVERAGES,Water,30,2025-11-25,2027-10-02,30,0,30,warehouse
BEVWAT5,B-9552,BEVERAGES,Water,36,2025-11-25,2027-01-06,36,0,36,warehouse
BEVWAT5,B-1717,BEVERAGES,Water,36,2025-11-25,2027-11-24,36,0,36,warehouse
BEVWAT6,B-5936,BEVERAGES,Water,42,2025-11-23,2027-04-22,42,0,42,warehouse
BEVWAT6,B-5356,BEVERAGES,Water,42,2025-11-24,2027-11-15,42,0,42,warehouse
BEVWAT7,B-7019,BEVERAGES,Water,48,2025-11-23,2027-04-03,48,0,48,warehouse
BEVWAT7,B-1917,BEVERAGES,Water,48,2025-11-26,2027-03-22,48,0,48,warehouse
BEVWAT8,B-5852,BEVERAGES,Water,18,2025-11-26,2027-06-19,18,0,18,warehouse
BEVWAT9,B-5570,BEVERAGES,Water,24,2025-11-23,2027-08-19,24,0,24,warehouse
BEVWAT9,B-5582,BEVERAGES,Water,24,2025-11-25,2027-08-05,24,0,24,warehouse
BEVWAT10,B-8215,BEVERAGES,Water,60,2025-11-24,2027-09-12,60,0,60,warehouse
BEVWAT11,B-8191,BEVERAGES,Water,36,2025-11-24,2027-06-26,36,0,36,warehouse
BEVWAT12,B-4428,BEVERAGES,Water,30,2025-11-24,2027-07-19,30,0,30,warehouse
BEVWAT12,B-3612,BEVERAGES,Water,30,2025-11-24,2027-04-07,30,0,30,warehouse
BEVWAT12,B-2521,BEVERAGES,Water,30,2025-11-24,2027-12-03,30,0,30,warehouse
BEVWAT13,B-4796,BEVERAGES,Water,24,2025-11-25,2027-06-24,24,0,24,warehouse
BEVWAT13,B-8170,BEVERAGES,Water,24,2025-11-25,2027-09-19,24,0,24,warehouse
BEVWAT14,B-9060,BEVERAGES,Water,48,2025-11-24,2027-01-13,48,0,48,warehouse
BEVWAT14,B-1246,BEVERAGES,Water,48,2025-11-25,2027-09-27,48,0,48,warehouse
BEVWAT15,B-9672,BEVERAGES,Water,24,2025-11-22,2027-01-27,24,0,24,warehouse
BEVWAT15,B-7251,BEVERAGES,Water,24,2025-11-23,2027-11-18,24,0,24,warehouse
BEVWAT15,B-4958,BEVERAGES,Water,24,2025-11-26,2027-12-06,24,0,24,warehouse
BEVWAT16,B-5247,BEVERAGES,Water,36,2025-11-23,2026-12-10,36,0,36,warehouse
BEVWAT16,B-2621,BEVERAGES,Water,36,2025-11-25,2027-12-06,36,0,36,warehouse
BEVWAT17,B-3118,BEVERAGES,Water,42,2025-11-22,2027-10-15,42,0,42,warehouse
BEVWAT17,B-3214,BEVERAGES,Water,42,2025-11-24,2027-06-01,42,0,42,warehouse
BEVWAT17,B-4307,BEVERAGES,Water,42,2025-11-26,2027-10-10,42,0,42,warehouse
BEVWAT18,B-5627,BEVERAGES,Water,36,2025-11-24,2027-10-11,36,0,36,warehouse
BEVWAT19,B-9429,BEVERAGES,Water,24,2025-11-24,2026-12-02,24,0,24,warehouse
BEVWAT19,B-6233,BEVERAGES,Water,24,2025-11-24,2028-02-18,24,0,24,warehouse
BEVWAT20,B-4229,BEVERAGES,Water,42,2025-11-24,2027-09-30,42,0,42,warehouse
BEVWAT20,B-1638,BEVERAGES,Water,42,2025-11-23,2028-01-21,42,0,42,warehouse
BEVWAT20,B-9120,BEVERAGES,Water,42,2025-11-25,2028-01-02,42,0,42,warehouse
BEVWAT21,B-8817,BEVERAGES,Water,24,2025-11-22,2027-04-27,24,0,24,warehouse
BEVWAT21,B-1952,BEVERAGES,Water,24,2025-11-23,2027-09-01,24,0,24,warehouse
BEVWAT21,B-3990,BEVERAGES,Water,24,2025-11-26,2027-09-02,24,0,24,warehouse
BEVWAT22,B-4583,BEVERAGES,Water,48,2025-11-24,2027-10-18,48,0,48,warehouse
BEVWAT22,B-7065,BEVERAGES,Water,48,2025-11-24,2027-12-08,48,0,48,warehouse
BEVWAT22,B-3381,BEVERAGES,Water,48,2025-11-25,2027-09-27,48,0,48,warehouse
BEVWAT23,B-3499,BEVERAGES,Water,42,2025-11-25,2027-04-21,42,0,42,warehouse
BEVWAT24,B-7847,BEVERAGES,Water,42,2025-11-23,2027-05-28,42,0,42,warehouse
BEVWAT24,B-7483,BEVERAGES,Water,42,2025-11-25,2027-05-31,42,0,42,warehouse
BEVWAT24,B-5706,BEVERAGES,Water,42,2025-11-25,2027-10-01,42,0,42,warehouse
BEVWAT25,B-1224,BEVERAGES,Water,36,2025-11-24,2026-12-31,36,0,36,warehouse
BEVWAT25,B-2316,BEVERAGES,Water,36,2025-11-24,2028-02-12,36,0,36,warehouse
BEVWAT25,B-6973,BEVERAGES,Water,36,2025-11-24,2028-02-21,36,0,36,warehouse
BEVWAT26,B-2671,BEVERAGES,Water,42,2025-11-26,2027-07-20,42,0,42,warehouse
BEVWAT27,B-5462,BEVERAGES,Water,60,2025-11-25,2027-08-06,60,0,60,warehouse
BEVWAT27,B-2506,BEVERAGES,Water,60,2025-11-26,2027-12-13,60,0,60,warehouse
BEVWAT28,B-2410,BEVERAGES,Water,36,2025-11-23,2027-10-12,36,0,36,warehouse
BEVWAT28,B-7193,BEVERAGES,Water,36,2025-11-25,2027-09-10,36,0,36,warehouse
BEVWAT29,B-9366,BEVERAGES,Water,30,2025-11-25,2027-09-25,30,0,30,warehouse
BEVWAT29,B-3237,BEVERAGES,Water,30,2025-11-24,2027-07-25,30,0,30,warehouse
BEVWAT30,B-2636,BEVERAGES,Water,42,2025-11-24,2027-04-08,42,0,42,warehouse
BEVWAT31,B-8981,BEVERAGES,Water,18,2025-11-24,2027-11-06,18,0,18,warehouse
BEVWAT31,B-3376,BEVERAGES,Water,18,2025-11-25,2027-04-07,18,0,18,warehouse
BEVWAT31,B-8668,BEVERAGES,Water,18,2025-11-26,2028-01-06,18,0,18,warehouse
BEVWAT32,B-4582,BEVERAGES,Water,36,2025-11-24,2026-12-24,36,0,36,warehouse
BEVWAT32,B-3529,BEVERAGES,Water,36,2025-11-23,2027-11-23,36,0,36,warehouse
BEVWAT32,B-6586,BEVERAGES,Water,36,2025-11-25,2027-06-24,36,0,36,warehouse
BEVWAT33,B-1430,BEVERAGES,Water,60,2025-11-24,2027-08-13,60,0,60,warehouse
BEVWAT34,B-7147,BEVERAGES,Water,48,2025-11-24,2026-11-27,48,0,48,warehouse
BEVWAT35,B-8614,BEVERAGES,Water,30,2025-11-22,2027-10-28,30,0,30,warehouse
BEVWAT35,B-7271,BEVERAGES,Water,30,2025-11-24,2027-05-03,30,0,30,warehouse
BEVWAT35,B-4345,BEVERAGES,Water,30,2025-11-26,2027-12-01,30,0,30,warehouse
BEVWAT36,B-7550,BEVERAGES,Water,30,2025-11-24,2027-05-09,30,0,30,warehouse
BEVWAT36,B-3391,BEVERAGES,Water,30,2025-11-26,2027-04-04,30,0,30,warehouse
BEVWAT37,B-7655,BEVERAGES,Water,60,2025-11-23,2027-01-31,60,0,60,warehouse
BEVWAT37,B-3042,BEVERAGES,Water,60,2025-11-26,2027-09-23,60,0,60,warehouse
BEVWAT38,B-3818,BEVERAGES,Water,60,2025-11-24,2026-12-06,60,0,60,warehouse
BEVWAT38,B-5177,BEVERAGES,Water,60,2025-11-25,2027-12-27,60,0,60,warehouse
BEVWAT38,B-7918,BEVERAGES,Water,60,2025-11-24,2028-04-01,60,0,60,warehouse
BEVWAT39,B-4204,BEVERAGES,Water,42,2025-11-23,2027-01-02,42,0,42,warehouse
BEVWAT39,B-5280,BEVERAGES,Water,42,2025-11-23,2027-05-05,42,0,42,warehouse
BEVWAT39,B-1667,BEVERAGES,Water,42,2025-11-25,2027-10-21,42,0,42,warehouse
BEVWAT40,B-7007,BEVERAGES,Water,60,2025-11-24,2027-01-01,60,0,60,warehouse
BEVWAT40,B-7756,BEVERAGES,Water,60,2025-11-25,2027-06-09,60,0,60,warehouse
BEVWAT40,B-5480,BEVERAGES,Water,60,2025-11-25,2028-01-27,60,0,60,warehouse
BEVWAT41,B-5192,BEVERAGES,Water,36,2025-11-23,2026-11-28,36,0,36,warehouse
BEVWAT41,B-3798,BEVERAGES,Water,36,2025-11-25,2027-05-29,36,0,36,warehouse
BEVWAT42,B-5738,BEVERAGES,Water,42,2025-11-24,2027-05-20,42,0,42,warehouse
BEVWAT42,B-6559,BEVERAGES,Water,42,2025-11-25,2027-08-29,42,0,42,warehouse
BEVWAT42,B-4317,BEVERAGES,Water,42,2025-11-26,2028-01-16,42,0,42,warehouse
BEVWAT43,B-9062,BEVERAGES,Water,42,2025-11-24,2027-11-13,42,0,42,warehouse
BEVWAT43,B-9668,BEVERAGES,Water,42,2025-11-25,2027-09-02,42,0,42,warehouse
BEVWAT44,B-7134,BEVERAGES,Water,36,2025-11-26,2027-04-28,36,0,36,warehouse
BEVWAT45,B-1085,BEVERAGES,Water,48,2025-11-23,2027-01-10,48,0,48,warehouse
BEVWAT45,B-3641,BEVERAGES,Water,48,2025-11-23,2027-10-26,48,0,48,warehouse
BEVWAT45,B-7020,BEVERAGES,Water,48,2025-11-25,2027-12-08,48,0,48,warehouse
BEVWAT46,B-6265,BEVERAGES,Water,36,2025-11-25,2027-06-11,36,0,36,warehouse
BEVWAT47,B-8689,BEVERAGES,Water,36,2025-11-24,2027-08-06,36,0,36,warehouse
BEVWAT48,B-7106,BEVERAGES,Water,60,2025-11-24,2027-04-04,60,0,60,warehouse
