shelf_id,discount_date,discount
BEVWAT0007,2025-01-01,0.15
BEVCOL0021,2025-01-01,0.3169
BEVICE0028,2025-01-01,0.1
BEVJUI0046,2025-01-01,0.2326
SPILIQ0062,2025-01-01,0.1
SPILIQ0064,2025-01-01,0.2
SPIGRA0067,2025-01-01,0.2061
SPIGRA0068,2025-01-01,0.1
SPICOG0070,2025-01-01,0.1632
SPIETH0084,2025-01-01,0.2888
BEEPRE0096,2025-01-01,0.25
BEEPRE0101,2025-01-01,0.0537
BEEIMP0104,2025-01-01,0.25
BEEFLA0112,2025-01-01,0.1909
WINWHI0128,2025-01-01,0.2894
WINWHI0129,2025-01-01,0.0814
WINWHI0130,2025-01-01,0.1727
WINRED0143,2025-01-01,0.1457
WINRED0144,2025-01-01,0.3097
WINRED0151,2025-01-01,0.109
WINRED0155,2025-01-01,0.15
WINSPA0167,2025-01-01,0.1
WINSPA0172,2025-01-01,0.2243
WINSPA0181,2025-01-01,0.1518
WINDES0184,2025-01-01,0.15
LONLON0188,2025-01-01,0.15
LONCRE0202,2025-01-01,0.1
LONCON0204,2025-01-01,0.1231
HOUTIS0210,2025-01-01,0.15
HOUNAP0213,2025-01-01,0.2
HOUBAK0220,2025-01-01,0.1
HOUPAP0226,2025-01-01,0.15
BATSAN0235,2025-01-01,0.1
BATBAR0249,2025-01-01,0.25
BATLIQ0253,2025-01-01,0.1682
BATTOO0263,2025-01-01,0.2
BATSHA0286,2025-01-01,0.15
BATSHA0291,2025-01-01,0.1
BATDEO0313,2025-01-01,0.1903
BATBAT0324,2025-01-01,0.15
BATBAT0327,2025-01-01,0.345
BATBAT0331,2025-01-01,0.2
BATFAC0344,2025-01-01,0.1685
BATACE0351,2025-01-01,0.1684
BATRAZ0361,2025-01-01,0.2
BATAFT0367,2025-01-01,0.2
BATBAN0371,2025-01-01,0.1
BATTRA0373,2025-01-01,0.25
LAUBLE0400,2025-01-01,0.2
LAUSTA0405,2025-01-01,0.15
HOUDIS0409,2025-01-01,0.0893
HOUDIS0412,2025-01-01,0.25
HOUDIS0414,2025-01-01,0.15
HOUAIR0431,2025-01-01,0.2
HOUANT0435,2025-01-01,0.2
HOUGLA0445,2025-01-01,0.3385
HOUINS0449,2025-01-01,0.3212
HOUSPO0456,2025-01-01,0.3238
BABDIA0468,2025-01-01,0.2
BABCOO0471,2025-01-01,0.25
BABPAS0472,2025-01-01,0.1113
BABBAB0477,2025-01-01,0.1
BABBAB0479,2025-01-01,0.1
BABHOM0485,2025-01-01,0.1
BABCAR0494,2025-01-01,0.0569
BABCAR0497,2025-01-01,0.1
FRUAPP0499,2025-01-01,0.2044
FRUBRO0530,2025-01-01,0.25
FRUREA0545,2025-01-01,0.2677
FRUSOU0551,2025-01-01,0.15
FRULEA0554,2025-01-01,0.1758
LONDRI0562,2025-01-01,0.1
LONDRI0564,2025-01-01,0.2725
LONOTH0570,2025-01-01,0.0948
SWEREA0599,2025-01-01,0.1
SWECOO0604,2025-01-01,0.25
SWECOO0609,2025-01-01,0.3365
SWESNA0632,2025-01-01,0.2693
SWESNA0633,2025-01-01,0.25
SWECHO0663,2025-01-01,0.3306
SWECHO0666,2025-01-01,0.1
SWERUS0685,2025-01-01,0.15
SWEJAM0693,2025-01-01,0.221
SWEJAM0694,2025-01-01,0.2
FLOFLO0702,2025-01-01,0.25
FLOYEA0712,2025-01-01,0.1
FLOYEA0713,2025-01-01,0.08
PASEGG0753,2025-01-01,0.1
PASSOU0757,2025-01-01,0.2849
GLUCOO0773,2025-01-01,0.2
GLURIC0774,2025-01-01,0.25
BREBRE0783,2025-01-01,0.15
BREFLA0787,2025-01-01,0.15
BRERIC0790,2025-01-01,0.3077
BRERIC0791,2025-01-01,0.15
BREPAC0797,2025-01-01,0.1
BRECRA0807,2025-01-01,0.1
HOTGRO0814,2025-01-01,0.2658
HOTCOF0823,2025-01-01,0.2
HOTDEC0839,2025-01-01,0.2
PASREA0871,2025-01-01,0.1
PASTOM0883,2025-01-01,0.1724
SPISPI0885,2025-01-01,0.3135
VINVIN0899,2025-01-01,0.2201
VINOLI0900,2025-01-01,0.25
VINOLI0902,2025-01-01,0.1
SAVCHI0914,2025-01-01,0.25
SAVCHI0918,2025-01-01,0.15
SAVCHI0921,2025-01-01,0.1631
SAVPOP0922,2025-01-01,0.3438
SAVTOA0924,2025-01-01,0.25
PETCAT0941,2025-01-01,0.2305
PETWET0947,2025-01-01,0.15
PETWET0949,2025-01-01,0.2775
PETDRY0952,2025-01-01,0.15
PETDRY0953,2025-01-01,0.1099
CANPEE0961,2025-01-01,0.1
CANPEA0963,2025-01-01,0.25
CANOLI0985,2025-01-01,0.25
CANCAP0992,2025-01-01,0.2554
CANDRI0993,2025-01-01,0.2548
CANTUN1008,2025-01-01,0.2731
CANMAC1012,2025-01-01,0.1
REFYOG1025,2025-01-01,0.2
REFFRE1029,2025-01-01,0.2
REFCHE1056,2025-01-01,0.25
REFCHE1057,2025-01-01,0.27
FROFRO1069,2025-01-01,0.3163
FROFRO1075,2025-01-01,0.2
FROICE1080,2025-01-01,0.2
FROPIZ1090,2025-01-01,0.1
MEABEE1102,2025-01-01,0.1637
MEABEE1103,2025-01-01,0.15
MEACHI1110,2025-01-01,0.0782
MEACHI1113,2025-01-01,0.1035
MEACHI1115,2025-01-01,0.15
MEASAU1119,2025-01-01,0.1
MEACOL1129,2025-01-01,0.1
FISSHE1138,2025-01-01,0.2533
FISSMO1141,2025-01-01,0.1
FISSMO1142,2025-01-01,0.2051
BEVWAT0007,2025-01-02,0.25
BEVCOL0021,2025-01-02,0.3169
BEVENE0029,2025-01-02,0.15
BEVJUI0046,2025-01-02,0.25
SPIGRA0067,2025-01-02,0.2061
SPICOG0070,2025-01-02,0.1632
SPIETH0084,2025-01-02,0.2888
BEESTA0085,2025-01-02,0.25
BEESTA0091,2025-01-02,0.2
BEEPRE0095,2025-01-02,0.2
BEEPRE0097,2025-01-02,0.2
BEEPRE0101,2025-01-02,0.0537
BEEFLA0112,2025-01-02,0.1909
WINWHI0126,2025-01-02,0.2
WINWHI0128,2025-01-02,0.2894
WINWHI0129,2025-01-02,0.0814
WINWHI0130,2025-01-02,0.1727
WINRED0143,2025-01-02,0.1457
WINRED0144,2025-01-02,0.3097
WINRED0151,2025-01-02,0.15
WINSPA0170,2025-01-02,0.1
WINSPA0172,2025-01-02,0.2243
WINROS0177,2025-01-02,0.25
WINSPA0181,2025-01-02,0.1518
LONLON0190,2025-01-02,0.15
LONCON0204,2025-01-02,0.1231
HOUPAP0205,2025-01-02,0.2
HOUTIS0211,2025-01-02,0.25
BATSAN0231,2025-01-02,0.2
BATBAR0250,2025-01-02,0.1
BATLIQ0253,2025-01-02,0.1682
BATLIQ0255,2025-01-02,0.15
BATMOU0270,2025-01-02,0.2
BATTOO0278,2025-01-02,0.2
BATSHA0285,2025-01-02,0.1
BATDEO0313,2025-01-02,0.1903
BATBAT0327,2025-01-02,0.345
BATBOD0341,2025-01-02,0.1
BATFAC0344,2025-01-02,0.1685
BATACE0351,2025-01-02,0.1684
BATTRA0374,2025-01-02,0.2
HOUDIS0409,2025-01-02,0.0893
HOUGLA0445,2025-01-02,0.3385
HOUINS0447,2025-01-02,0.25
HOUINS0449,2025-01-02,0.3212
HOUSPO0456,2025-01-02,0.3238
HOUSPO0460,2025-01-02,0.15
BABDIA0466,2025-01-02,0.25
BABPAS0472,2025-01-02,0.1113
BABPAS0476,2025-01-02,0.1
BABHOM0488,2025-01-02,0.25
BABCAR0494,2025-01-02,0.0569
FRUAPP0499,2025-01-02,0.2044
FRUPEA0501,2025-01-02,0.15
FRUKIW0509,2025-01-02,0.1
FRUPOT0515,2025-01-02,0.1
FRURAD0534,2025-01-02,0.15
FRUREA0545,2025-01-02,0.2677
FRULEA0554,2025-01-02,0.1758
LONDRI0564,2025-01-02,0.2725
LONOTH0570,2025-01-02,0.0948
SWESNA0593,2025-01-02,0.1
SWECOO0600,2025-01-02,0.25
SWECOO0609,2025-01-02,0.3365
SWEIND0621,2025-01-02,0.15
SWESNA0632,2025-01-02,0.2693
SWEFLA0654,2025-01-02,0.2
SWESPR0659,2025-01-02,0.25
SWECHO0663,2025-01-02,0.3306
SWECHO0664,2025-01-02,0.15
SWEJAM0688,2025-01-02,0.15
SWEJAM0693,2025-01-02,0.221
FLOFLO0702,2025-01-02,0.1
FLOYEA0713,2025-01-02,0.08
PASSOU0757,2025-01-02,0.2849
PASSTO0765,2025-01-02,0.15
GLURIC0774,2025-01-02,0.1136
BREFLA0787,2025-01-02,0.1
BRERIC0790,2025-01-02,0.3077
HOTGRO0813,2025-01-02,0.2
HOTGRO0814,2025-01-02,0.2658
HOTCOF0822,2025-01-02,0.25
HOTINS0828,2025-01-02,0.15
SAUMAY0851,2025-01-02,0.1
PASTOM0883,2025-01-02,0.1724
SPISPI0885,2025-01-02,0.3135
VINWHI0894,2025-01-02,0.1
VINVIN0899,2025-01-02,0.25
SAVCHI0916,2025-01-02,0.15
SAVCHI0921,2025-01-02,0.2
SAVPOP0922,2025-01-02,0.3438
PETDRY0938,2025-01-02,0.25
PETCAT0941,2025-01-02,0.2305
PETWET0949,2025-01-02,0.2775
PETDRY0953,2025-01-02,0.1099
PETDOG0957,2025-01-02,0.15
CANPEE0961,2025-01-02,0.0989
CANOTH0969,2025-01-02,0.25
CANOTH0970,2025-01-02,0.15
CANOLI0988,2025-01-02,0.2
CANCAP0992,2025-01-02,0.2554
CANDRI0993,2025-01-02,0.2548
CANTUN1008,2025-01-02,0.2731
REFYOG1026,2025-01-02,0.1
REFFRE1030,2025-01-02,0.1
REFCHE1057,2025-01-02,0.27
FROFRO1069,2025-01-02,0.3163
FROFRO1096,2025-01-02,0.25
MEABEE1102,2025-01-02,0.1637
MEABEE1103,2025-01-02,0.1
MEACHI1110,2025-01-02,0.0782
MEACHI1113,2025-01-02,0.1035
MEACHI1116,2025-01-02,0.25
MEACOL1123,2025-01-02,0.1
FISSHE1138,2025-01-02,0.2533
