shelf_id,batch_code,item_category,item_subcategory,received_date,expiry_date,batch_quantity_total,batch_quantity_store,batch_quantity_warehouse,location,time_stamp
BEVWAT1,B-7093,BEVERAGES,Water,2025-08-20,2027-02-13,13,13,0,in-store,2025-08-25 16:10:36
BEVWAT1,B-2618,BEVERAGES,Water,2025-08-24,2027-12-20,1,1,0,in-store,2025-08-25 16:10:36
BEVWAT2,B-8025,BEVERAGES,Water,2025-08-19,2026-11-21,18,18,0,in-store,2025-08-25 16:10:36
BEVWAT2,B-6677,BEVERAGES,Water,2025-08-25,2028-06-18,13,13,0,in-store,2025-08-25 16:10:36
BEVWAT3,B-4732,BEVERAGES,Water,2025-08-23,2026-10-12,45,45,0,in-store,2025-08-25 16:10:36
BEVWAT4,B-2078,BEVERAGES,Water,2025-08-23,2026-08-30,44,44,0,in-store,2025-08-25 16:10:36
BEVWAT5,B-6495,BEVERAGES,Water,2025-08-20,2026-09-04,15,15,0,in-store,2025-08-25 16:10:36
BEVWAT5,B-5914,BEVERAGES,Water,2025-08-25,2028-02-07,3,3,0,in-store,2025-08-25 16:10:36
BEVWAT6,B-2088,BEVERAGES,Water,2025-08-20,2027-04-24,24,24,0,in-store,2025-08-25 16:10:36
BEVWAT6,B-1653,BEVERAGES,Water,2025-08-24,2028-08-14,10,10,0,in-store,2025-08-25 16:10:36
BEVWAT7,B-9930,BEVERAGES,Water,2025-08-24,2026-09-30,27,27,0,in-store,2025-08-25 16:10:36
BEVWAT8,B-5429,BEVERAGES,Water,2025-08-23,2027-01-06,51,51,0,in-store,2025-08-25 16:10:36
BEVWAT9,B-8950,BEVERAGES,Water,2025-08-25,2027-06-28,33,33,0,in-store,2025-08-25 16:10:36
BEVWAT10,B-7595,BEVERAGES,Water,2025-08-23,2026-08-25,29,29,0,in-store,2025-08-25 16:10:36
BEVWAT11,B-9489,BEVERAGES,Water,2025-08-24,2027-01-18,31,31,0,in-store,2025-08-25 16:10:36
BEVWAT12,B-1247,BEVERAGES,Water,2025-08-20,2026-12-26,20,20,0,in-store,2025-08-25 16:10:36
BEVWAT12,B-2405,BEVERAGES,Water,2025-08-24,2028-05-18,19,19,0,in-store,2025-08-25 16:10:36
BEVWAT13,B-7713,BEVERAGES,Water,2025-08-20,2027-02-06,2,2,0,in-store,2025-08-25 16:10:36
BEVWAT13,B-8025,BEVERAGES,Water,2025-08-25,2027-12-15,12,12,0,in-store,2025-08-25 16:10:36
BEVWAT14,B-6021,BEVERAGES,Water,2025-08-23,2027-05-18,43,43,0,in-store,2025-08-25 16:10:36
BEVWAT15,B-4697,BEVERAGES,Water,2025-08-24,2027-06-16,26,26,0,in-store,2025-08-25 16:10:36
BEVWAT16,B-1245,BEVERAGES,Water,2025-08-20,2027-01-20,4,4,0,in-store,2025-08-25 16:10:36
BEVWAT16,B-9838,BEVERAGES,Water,2025-08-25,2027-08-29,42,42,0,in-store,2025-08-25 16:10:36
BEVWAT17,B-7839,BEVERAGES,Water,2025-08-25,2027-06-07,43,43,0,in-store,2025-08-25 16:10:36
BEVWAT18,B-1886,BEVERAGES,Water,2025-08-24,2027-07-25,22,22,0,in-store,2025-08-25 16:10:36
BEVWAT19,B-2330,BEVERAGES,Water,2025-08-21,2026-08-31,11,11,0,in-store,2025-08-25 16:10:36
BEVWAT19,B-2773,BEVERAGES,Water,2025-08-24,2027-12-05,16,16,0,in-store,2025-08-25 16:10:36
BEVWAT20,B-7630,BEVERAGES,Water,2025-08-24,2027-07-01,22,22,0,in-store,2025-08-25 16:10:36
BEVWAT21,B-5764,BEVERAGES,Water,2025-08-25,2026-11-24,39,39,0,in-store,2025-08-25 16:10:36
BEVWAT22,B-1045,BEVERAGES,Water,2025-08-25,2026-11-09,39,39,0,in-store,2025-08-25 16:10:36
BEVWAT23,B-3783,BEVERAGES,Water,2025-08-23,2027-07-24,37,37,0,in-store,2025-08-25 16:10:36
BEVWAT24,B-1660,BEVERAGES,Water,2025-08-19,2027-04-12,13,13,0,in-store,2025-08-25 16:10:36
BEVWAT24,B-1697,BEVERAGES,Water,2025-08-23,2027-10-13,23,23,0,in-store,2025-08-25 16:10:36
BEVWAT25,B-1978,BEVERAGES,Water,2025-08-24,2027-07-03,30,30,0,in-store,2025-08-25 16:10:36
BEVWAT26,B-7267,BEVERAGES,Water,2025-08-20,2027-03-01,21,21,0,in-store,2025-08-25 16:10:36
BEVWAT26,B-3331,BEVERAGES,Water,2025-08-25,2027-11-09,33,33,0,in-store,2025-08-25 16:10:36
BEVWAT27,B-7751,BEVERAGES,Water,2025-08-25,2027-04-27,38,38,0,in-store,2025-08-25 16:10:36
BEVWAT28,B-3125,BEVERAGES,Water,2025-08-24,2026-10-31,19,19,0,in-store,2025-08-25 16:10:36
