shelf_id,aisle,item_weight,shelf_weight,item_category,item_subcategory,item_visibility,maximum_stock,current_stock,item_price,time_stamp
BEVWAT1,1,1500,30000,BEVERAGES,Water,0.112357,20,14,2.4,2025-08-25 16:05:36
BEVWAT2,1,1000,32000,BEVERAGES,Water,0.141276,32,31,2.06,2025-08-25 16:07:36
BEVWAT3,1,2000,92000,BEVERAGES,Water,0.183075,46,45,0.81,2025-08-25 16:03:36
BEVWAT4,1,1000,53000,BEVERAGES,Water,0.096675,53,44,0.7,2025-08-25 16:06:36
BEVWAT5,1,1000,20000,BEVERAGES,Water,0.075258,20,18,2.23,2025-08-25 16:10:36
BEVWAT6,1,1500,55500,BEVERAGES,Water,0.130902,37,34,0.79,2025-08-25 16:06:36
BEVWAT7,1,1000,37000,BEVERAGES,Water,0.139322,37,27,0.54,2025-08-25 16:07:36
BEVWAT8,1,750,39000,BEVERAGES,Water,0.075056,52,51,1.94,2025-08-25 16:03:36
BEVWAT9,1,750,27000,BEVERAGES,Water,0.063346,36,33,0.86,2025-08-25 16:05:36
BEVWAT10,1,2000,82000,BEVERAGES,Water,0.147679,41,29,1.73,2025-08-25 16:09:36
BEVWAT11,1,750,33000,BEVERAGES,Water,0.095121,44,31,1.55,2025-08-25 16:09:36
BEVWAT12,1,1500,69000,BEVERAGES,Water,0.103606,46,39,0.55,2025-08-25 16:08:36
BEVWAT13,1,1000,21000,BEVERAGES,Water,0.095034,21,14,1.72,2025-08-25 16:07:36
BEVWAT14,1,750,39750,BEVERAGES,Water,0.091076,53,43,0.59,2025-08-25 16:08:36
BEVWAT15,1,1500,48000,BEVERAGES,Water,0.125956,32,26,1.23,2025-08-25 16:04:36
BEVWAT16,1,1000,55000,BEVERAGES,Water,0.165415,55,46,1.26,2025-08-25 16:08:36
BEVWAT17,1,1500,70500,BEVERAGES,Water,0.153294,47,43,1.68,2025-08-25 16:04:36
BEVWAT18,1,1000,31000,BEVERAGES,Water,0.099846,31,22,2.22,2025-08-25 16:08:36
