shelf_id,batch_code,item_category,item_subcategory,received_date,expiry_date,batch_quantity_total,batch_quantity_store,batch_quantity_warehouse,location,time_stamp
BEVWAT1,B-6357,BEVERAGES,Water,2025-08-26,2026-10-04,390,0,390,warehouse,2025-08-26 15:56:15
BEVWAT2,B-9358,BEVERAGES,Water,2025-08-24,2026-10-08,286,0,286,warehouse,2025-08-26 15:56:15
BEVWAT3,B-4210,BEVERAGES,Water,2025-08-25,2027-06-19,434,0,434,warehouse,2025-08-26 15:56:15
BEVWAT4,B-6242,BEVERAGES,Water,2025-08-25,2027-06-09,207,0,207,warehouse,2025-08-26 15:56:15
BEVWAT5,B-6152,BEVERAGES,Water,2025-08-25,2027-01-19,251,0,251,warehouse,2025-08-26 15:56:15
BEVWAT6,B-7738,BEVERAGES,Water,2025-08-24,2026-12-26,187,0,187,warehouse,2025-08-26 15:56:15
BEVWAT7,B-9771,BEVERAGES,Water,2025-08-20,2026-10-12,62,0,62,warehouse,2025-08-26 15:56:15
BEVWAT7,B-3930,BEVERAGES,Water,2025-08-24,2028-04-30,157,0,157,warehouse,2025-08-26 15:56:15
BEVWAT8,B-5449,BEVERAGES,Water,2025-08-24,2027-07-04,387,0,387,warehouse,2025-08-26 15:56:15
BEVWAT9,B-8537,BEVERAGES,Water,2025-08-26,2026-09-04,211,0,211,warehouse,2025-08-26 15:56:15
BEVWAT10,B-5177,BEVERAGES,Water,2025-08-25,2027-04-13,233,0,233,warehouse,2025-08-26 15:56:15
BEVWAT11,B-1843,BEVERAGES,Water,2025-08-25,2027-07-14,228,0,228,warehouse,2025-08-26 15:56:15
BEVWAT12,B-1162,BEVERAGES,Water,2025-08-24,2026-09-03,370,0,370,warehouse,2025-08-26 15:56:15
BEVWAT13,B-3671,BEVERAGES,Water,2025-08-20,2027-08-06,118,0,118,warehouse,2025-08-26 15:56:15
BEVWAT13,B-9603,BEVERAGES,Water,2025-08-25,2027-12-04,296,0,296,warehouse,2025-08-26 15:56:15
BEVWAT14,B-4819,BEVERAGES,Water,2025-08-25,2026-10-23,355,0,355,warehouse,2025-08-26 15:56:15
BEVWAT15,B-5345,BEVERAGES,Water,2025-08-25,2026-09-09,181,0,181,warehouse,2025-08-26 15:56:15
BEVWAT16,B-4760,BEVERAGES,Water,2025-08-22,2026-10-11,185,0,185,warehouse,2025-08-26 15:56:15
BEVWAT16,B-7857,BEVERAGES,Water,2025-08-25,2027-11-25,58,0,58,warehouse,2025-08-26 15:56:15
BEVWAT17,B-2129,BEVERAGES,Water,2025-08-26,2027-06-15,392,0,392,warehouse,2025-08-26 15:56:15
BEVWAT18,B-1531,BEVERAGES,Water,2025-08-24,2027-06-27,428,0,428,warehouse,2025-08-26 15:56:15
