shelf_id,aisle,item_weight,shelf_weight,item_category,item_subcategory,maximum_stock,current_stock,item_price,time_stamp
BEVWAT1,1,1500,708000,BEVERAGES,Water,472,390,2.4,2025-08-26 15:51:15
BEVWAT2,1,1000,320000,BEVERAGES,Water,320,286,2.06,2025-08-26 15:56:15
BEVWAT3,1,2000,966000,BEVERAGES,Water,483,434,0.81,2025-08-26 15:53:15
BEVWAT4,1,1000,210000,BEVERAGES,Water,210,207,0.7,2025-08-26 15:47:15
BEVWAT5,1,1000,316000,BEVERAGES,Water,316,251,2.23,2025-08-26 15:53:15
BEVWAT6,1,1500,394500,BEVERAGES,Water,263,187,0.79,2025-08-26 15:51:15
BEVWAT7,1,1000,282000,BEVERAGES,Water,282,219,0.54,2025-08-26 15:48:15
BEVWAT8,1,750,330750,BEVERAGES,Water,441,387,1.94,2025-08-26 15:49:15
BEVWAT9,1,750,183000,BEVERAGES,Water,244,211,0.86,2025-08-26 15:52:15
BEVWAT10,1,2000,660000,BEVERAGES,Water,330,233,1.73,2025-08-26 15:49:15
BEVWAT11,1,750,186750,BEVERAGES,Water,249,228,1.55,2025-08-26 15:48:15
BEVWAT12,1,1500,646500,BEVERAGES,Water,431,370,0.55,2025-08-26 15:50:15
BEVWAT13,1,1000,415000,BEVERAGES,Water,415,414,1.72,2025-08-26 15:50:15
BEVWAT14,1,750,283500,BEVERAGES,Water,378,355,0.59,2025-08-26 15:47:15
BEVWAT15,1,1500,337500,BEVERAGES,Water,225,181,1.23,2025-08-26 15:47:15
BEVWAT16,1,1000,244000,BEVERAGES,Water,244,243,1.26,2025-08-26 15:53:15
BEVWAT17,1,1500,673500,BEVERAGES,Water,449,392,1.68,2025-08-26 15:50:15
BEVWAT18,1,1000,449000,BEVERAGES,Water,449,428,2.22,2025-08-26 15:56:15
BEVWAT19,1,2000,462000,BEVERAGES,Water,231,211,1.4,2025-08-26 15:55:15
BEVWAT20,1,750,330750,BEVERAGES,Water,441,404,2.4,2025-08-26 15:50:15
BEVWAT21,1,1500,730500,BEVERAGES,Water,487,386,1.63,2025-08-26 15:50:15
BEVWAT22,1,750,372000,BEVERAGES,Water,496,480,1.11,2025-08-26 15:49:15
BEVWAT23,1,2000,868000,BEVERAGES,Water,434,306,0.96,2025-08-26 15:51:15
BEVWAT24,1,1500,669000,BEVERAGES,Water,446,362,1.38,2025-08-26 15:49:15
BEVWAT25,1,1500,349500,BEVERAGES,Water,233,187,1.49,2025-08-26 15:49:15
BEVWAT26,1,1000,471000,BEVERAGES,Water,471,383,2.32,2025-08-26 15:49:15
BEVWAT27,1,1500,658500,BEVERAGES,Water,439,317,0.86,2025-08-26 15:50:15
BEVWAT28,1,1500,325500,BEVERAGES,Water,217,212,1.12,2025-08-26 15:49:15
BEVWAT29,1,750,272250,BEVERAGES,Water,363,349,1.64,2025-08-26 15:51:15
