Item_Identifier,Batch_ID,Received_Date,Expiry_Date,Batch_Quantity,Location
BAA02,STOREBATCH_BAA02,2025-07-28,2025-12-04,21,In-Store
BAA07,STOREBATCH_BAA07,2025-07-28,2025-11-30,6,In-Store
BAA25,STOREBATCH_BAA25,2025-07-28,2025-11-17,42,In-Store
BAA38,STOREBATCH_BAA38,2025-07-28,2026-01-08,17,In-Store
BAA57,STOREBATCH_BAA57,2025-07-28,2025-11-06,43,In-Store
BAA83,STOREBATCH_BAA83,2025-07-28,2025-10-02,33,In-Store
BAA85,STOREBATCH_BAA85,2025-07-28,2025-10-13,11,In-Store
BAA96,STOREBATCH_BAA96,2025-07-28,2025-10-13,17,In-Store
BAA99,STOREBATCH_BAA99,2025-07-28,2025-10-15,38,In-Store
BAB20,STOREBATCH_BAB20,2025-07-28,2026-01-22,32,In-Store
BAB23,STOREBATCH_BAB23,2025-07-28,2025-12-27,21,In-Store
BAB34,STOREBATCH_BAB34,2025-07-28,2025-10-08,7,In-Store
BAB43,STOREBATCH_BAB43,2025-07-28,2025-09-27,30,In-Store
BAB46,STOREBATCH_BAB46,2025-07-28,2025-09-29,16,In-Store
BAB53,STOREBATCH_BAB53,2025-07-28,2025-10-25,8,In-Store
BAB63,STOREBATCH_BAB63,2025-07-28,2025-12-29,44,In-Store
BAB68,STOREBATCH_BAB68,2025-07-28,2025-10-09,12,In-Store
BAB71,STOREBATCH_BAB71,2025-07-28,2025-10-25,45,In-Store
BAB76,STOREBATCH_BAB76,2025-07-28,2025-11-21,19,In-Store
BAB89,STOREBATCH_BAB89,2025-07-28,2025-09-26,25,In-Store
BAC09,STOREBATCH_BAC09,2025-07-28,2025-10-05,35,In-Store
BAC12,STOREBATCH_BAC12,2025-07-28,2025-09-28,27,In-Store
BAC24,STOREBATCH_BAC24,2025-07-28,2025-11-28,18,In-Store
BAC26,STOREBATCH_BAC26,2025-07-28,2025-11-27,23,In-Store
BAC57,STOREBATCH_BAC57,2025-07-28,2025-10-14,24,In-Store
BAC61,STOREBATCH_BAC61,2025-07-28,2025-12-22,21,In-Store
BAC69,STOREBATCH_BAC69,2025-07-28,2025-10-23,42,In-Store
BAC73,STOREBATCH_BAC73,2025-07-28,2025-09-30,47,In-Store
BAC79,STOREBATCH_BAC79,2025-07-28,2025-12-24,21,In-Store
BAC84,STOREBATCH_BAC84,2025-07-28,2025-12-18,47,In-Store
BAC85,STOREBATCH_BAC85,2025-07-28,2025-10-19,28,In-Store
BAC89,STOREBATCH_BAC89,2025-07-28,2025-09-30,20,In-Store
BAC90,STOREBATCH_BAC90,2025-07-28,2025-10-18,36,In-Store
BAD02,STOREBATCH_BAD02,2025-07-28,2025-10-29,14,In-Store
BAD20,STOREBATCH_BAD20,2025-07-28,2025-11-16,22,In-Store
BAD41,STOREBATCH_BAD41,2025-07-28,2025-12-04,36,In-Store
BAD42,STOREBATCH_BAD42,2025-07-28,2025-10-05,17,In-Store
BAD52,STOREBATCH_BAD52,2025-07-28,2025-12-08,47,In-Store
BAD60,STOREBATCH_BAD60,2025-07-28,2025-11-20,6,In-Store
BAD65,STOREBATCH_BAD65,2025-07-28,2025-10-11,14,In-Store
BAD67,STOREBATCH_BAD67,2025-07-28,2025-09-29,13,In-Store
BAD68,STOREBATCH_BAD68,2025-07-28,2025-12-21,17,In-Store
BAD80,STOREBATCH_BAD80,2025-07-28,2026-01-23,42,In-Store
BAD82,STOREBATCH_BAD82,2025-07-28,2025-11-05,12,In-Store
BAE00,STOREBATCH_BAE00,2025-07-28,2025-11-23,6,In-Store
BAE19,STOREBATCH_BAE19,2025-07-28,2025-10-17,46,In-Store
BAE29,STOREBATCH_BAE29,2025-07-28,2025-09-27,32,In-Store
BAE34,STOREBATCH_BAE34,2025-07-28,2025-10-06,28,In-Store
BAE49,STOREBATCH_BAE49,2025-07-28,2025-11-09,24,In-Store
