shelf_id,item_category,item_weight,shelf_weight,item_visibility,initial_stock,current_stock,time_stamp
SFH27,Snack Foods,100,15700.0,0.127469857,157.0,157.0,2025-08-14 20:01:59
FVA27,Fruits and Vegetables,1000,82000.0,0.1000135,82.0,82.0,2025-08-14 20:01:59
DAC65,Dairy,200,39400.0,0.10249212,197.0,197.0,2025-08-14 20:01:59
SFG60,Snack Foods,30,3390.0,0.138190277,113.0,113.0,2025-08-14 20:01:59
HOO64,Household,750,59250.0,0.099887103,79.0,79.0,2025-08-14 20:01:59
DAU05,Dairy,1000,157000.0,0.161466534,157.0,157.0,2025-08-14 20:01:59
DAI72,Dairy,500,61000.0,0.170348551,122.0,122.0,2025-08-14 20:01:59
SDR42,Soft Drinks,330,52140.0,0.097904029,158.0,158.0,2025-08-14 20:01:59
SDL02,Soft Drinks,1500,291000.0,0.113123893,194.0,194.0,2025-08-14 20:01:59
SFI95,Snack Foods,75,11175.0,0.123111453,149.0,149.0,2025-08-14 20:01:59
DAJ80,Dairy,500,31500.0,0.102511504,63.0,63.0,2025-08-14 20:01:59
SFQ78,Snack Foods,100,6800.0,0.117818348,68.0,68.0,2025-08-14 20:01:59
BAE15,Baking Goods,500,60000.0,0.121632721,120.0,120.0,2025-08-14 20:01:59
DAV28,Dairy,1000,108000.0,0.255394896,108.0,108.0,2025-08-14 20:01:59
FRO04,Frozen Foods,600,87600.0,0.159803853,146.0,146.0,2025-08-14 20:01:59
SFM98,Snack Foods,30,2790.0,0.173481304,93.0,93.0,2025-08-14 20:01:59
FRO03,Frozen Foods,500,80000.0,0.15028599,160.0,160.0,2025-08-14 20:01:59
SFQ76,Snack Foods,50,3000.0,0.195068226,60.0,60.0,2025-08-14 20:01:59
HHR11,Health and Hygiene,100,15500.0,0.143422643,155.0,155.0,2025-08-14 20:01:59
SFY32,Snack Foods,30,1530.0,0.105296072,51.0,51.0,2025-08-14 20:01:59
BAE04,Baking Goods,1000,174000.0,0.121531501,174.0,174.0,2025-08-14 20:01:59
HOS66,Household,750,145500.0,0.186357148,194.0,194.0,2025-08-14 20:01:59
BAW31,Baking Goods,250,35750.0,0.113720344,143.0,143.0,2025-08-14 20:01:59
FRW94,Frozen Foods,600,85200.0,0.112556507,142.0,142.0,2025-08-14 20:01:59
HOM44,Household,1500,79500.0,0.293417759,53.0,53.0,2025-08-14 20:01:59
FVI75,Fruits and Vegetables,300,33600.0,0.12639886,112.0,112.0,2025-08-14 20:01:59
SFG64,Snack Foods,30,2340.0,0.123115764,78.0,78.0,2025-08-14 20:01:59
DAG49,Dairy,200,13600.0,0.105274111,68.0,68.0,2025-08-14 20:01:59
FRM43,Frozen Foods,400,56000.0,0.131383762,140.0,140.0,2025-08-14 20:01:59
SFO75,Snack Foods,100,7800.0,0.115857223,78.0,78.0,2025-08-14 20:01:59
BAC89,Baking Goods,250,41250.0,0.116576702,165.0,165.0,2025-08-14 20:01:59
SDD06,Soft Drinks,330,39270.0,0.278974075,119.0,119.0,2025-08-14 20:01:59
FRI81,Frozen Foods,1500,258000.0,0.160760054,172.0,172.0,2025-08-14 20:01:59
