Item_Identifier,Batch_ID,Received_Date,Expiry_Date,Batch_Quantity,Location
SFY52,BATCH_SFY52_1,2025-07-22,2025-09-10,49,Warehouse
SFY52,BATCH_SFY52_2,2025-07-20,2025-08-18,13,Warehouse
SFY52,BATCH_SFY52_3,2025-07-22,2025-08-27,81,Warehouse
FVX38,BATCH_FVX38_1,2025-07-16,2025-07-25,17,Warehouse
FVX38,BATCH_FVX38_2,2025-07-18,2025-07-27,99,Warehouse
FVX38,BATCH_FVX38_3,2025-07-17,2025-07-26,27,Warehouse
DAA55,BATCH_DAA55_1,2025-07-14,2025-08-04,56,Warehouse
DAA55,BATCH_DAA55_2,2025-07-17,2025-07-31,98,Warehouse
SFT05,BATCH_SFT05_1,2025-07-12,2025-08-11,14,Warehouse
SFT05,BATCH_SFT05_2,2025-07-18,2025-08-16,99,Warehouse
HOM16,BATCH_HOM16_1,2025-07-17,2026-03-23,68,Warehouse
HOM16,BATCH_HOM16_2,2025-07-17,2026-11-27,16,Warehouse
DAD93,BATCH_DAD93_1,2025-07-15,2025-08-01,59,Warehouse
DAM56,BATCH_DAM56_1,2025-07-21,2025-08-01,45,Warehouse
DAM56,BATCH_DAM56_2,2025-07-17,2025-08-05,64,Warehouse
SDW47,BATCH_SDW47_1,2025-07-21,2025-11-09,35,Warehouse
SDB50,BATCH_SDB50_1,2025-07-18,2026-03-24,31,Warehouse
SDB50,BATCH_SDB50_2,2025-07-16,2026-05-01,93,Warehouse
SFU37,BATCH_SFU37_1,2025-07-12,2025-09-13,27,Warehouse
SFU37,BATCH_SFU37_2,2025-07-22,2025-08-23,87,Warehouse
SFU37,BATCH_SFU37_3,2025-07-13,2025-08-13,36,Warehouse
DAS16,BATCH_DAS16_1,2025-07-12,2025-07-27,45,Warehouse
SFD73,BATCH_SFD73_1,2025-07-18,2025-08-13,82,Warehouse
SFD73,BATCH_SFD73_2,2025-07-20,2025-09-04,16,Warehouse
BAR29,BATCH_BAR29_1,2025-07-12,2025-10-11,23,Warehouse
BAR29,BATCH_BAR29_2,2025-07-15,2025-10-10,22,Warehouse
BAR29,BATCH_BAR29_3,2025-07-22,2025-12-19,39,Warehouse
DAN62,BATCH_DAN62_1,2025-07-22,2025-07-27,89,Warehouse
DAN62,BATCH_DAN62_2,2025-07-19,2025-07-27,30,Warehouse
FRA80,BATCH_FRA80_1,2025-07-14,2025-08-09,12,Warehouse
FRA80,BATCH_FRA80_2,2025-07-22,2025-08-01,10,Warehouse
FRA80,BATCH_FRA80_3,2025-07-16,2025-08-06,64,Warehouse
SFB39,BATCH_SFB39_1,2025-07-13,2025-09-02,38,Warehouse
FRL57,BATCH_FRL57_1,2025-07-21,2025-08-09,73,Warehouse
FRL57,BATCH_FRL57_2,2025-07-21,2025-08-03,88,Warehouse
FRL57,BATCH_FRL57_3,2025-07-17,2025-08-18,34,Warehouse
