Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,initial_stock,current_stock,time_stamp
SFY52,100,0.127469857,Snack Foods,107.8,214.0,214.0,2025-07-19 20:07:59
FVX38,200,0.1000135,Fruits and Vegetables,145.5,110.0,110.0,2025-07-19 20:07:59
DAA55,200,0.10249212,Dairy,230.5,265.0,265.0,2025-07-19 20:07:59
SFT05,50,0.138190277,Snack Foods,250.9,165.0,165.0,2025-07-19 20:07:59
HOM16,750,0.099887103,Household,45.9,117.0,117.0,2025-07-19 20:07:59
DAD93,200,0.161466534,Dairy,45.5,210.0,210.0,2025-07-19 20:07:59
DAM56,500,0.170348551,Dairy,55.8,177.0,177.0,2025-07-19 20:07:59
SDW47,330,0.097904029,Soft Drinks,174.9,235.0,235.0,2025-07-19 20:07:59
SDB50,1500,0.113123893,Soft Drinks,122.5,266.0,266.0,2025-07-19 20:07:59
SFU37,100,0.123111453,Snack Foods,37.0,213.0,213.0,2025-07-19 20:07:59
DAS16,200,0.102511504,Dairy,230.6,73.0,73.0,2025-07-19 20:07:59
SFD73,30,0.117818348,Snack Foods,192.9,77.0,77.0,2025-07-19 20:07:59
BAR29,250,0.121632721,Baking Goods,60.6,171.0,171.0,2025-07-19 20:07:59
DAN62,200,0.255394896,Dairy,196.9,158.0,158.0,2025-07-19 20:07:59
FRA80,500,0.159803853,Frozen Foods,141.5,209.0,209.0,2025-07-19 20:07:59
SFB39,50,0.173481304,Snack Foods,194.5,115.0,115.0,2025-07-19 20:07:59
FRL57,400,0.15028599,Frozen Foods,51.1,237.0,237.0,2025-07-19 20:07:59
SFD39,100,0.195068226,Snack Foods,185.4,72.0,72.0,2025-07-19 20:07:59
HHM63,100,0.143422643,Health and Hygiene,95.8,193.0,193.0,2025-07-19 20:07:59
SFQ02,100,0.105296072,Snack Foods,170.2,63.0,63.0,2025-07-19 20:07:59
BAJ15,1000,0.121531501,Baking Goods,59.2,235.0,235.0,2025-07-19 20:07:59
HOJ01,500,0.186357148,Household,254.4,231.0,231.0,2025-07-19 20:07:59
BAQ49,250,0.113720344,Baking Goods,90.0,209.0,209.0,2025-07-19 20:07:59
FRK76,1500,0.112556507,Frozen Foods,105.0,157.0,157.0,2025-07-19 20:07:59
HOR33,750,0.293417759,Household,194.6,73.0,73.0,2025-07-19 20:07:59
FVH75,300,0.12639886,Fruits and Vegetables,177.0,161.0,161.0,2025-07-19 20:07:59
SFM38,30,0.123115764,Snack Foods,95.6,108.0,108.0,2025-07-19 20:07:59
DAT92,500,0.105274111,Dairy,39.9,93.0,93.0,2025-07-19 20:07:59
FRP60,500,0.131383762,Frozen Foods,246.0,205.0,205.0,2025-07-19 20:07:59
SFZ77,30,0.115857223,Snack Foods,179.1,96.0,96.0,2025-07-19 20:07:59
BAZ04,1000,0.116576702,Baking Goods,163.1,205.0,205.0,2025-07-19 20:07:59
SDZ75,1000,0.278974075,Soft Drinks,225.4,140.0,140.0,2025-07-19 20:07:59
FRU95,400,0.160760054,Frozen Foods,192.4,217.0,217.0,2025-07-19 20:07:59
CAK00,400,0.171938781,Canned,92.5,99.0,99.0,2025-07-19 20:07:59
SDG84,500,0.183507295,Soft Drinks,82.4,124.0,124.0,2025-07-19 20:07:59
DAR65,1000,0.102349519,Dairy,52.8,80.0,80.0,2025-07-19 20:07:59
HHH24,100,0.144338493,Health and Hygiene,224.4,150.0,150.0,2025-07-19 20:07:59
SFW28,75,0.155350299,Snack Foods,178.2,200.0,200.0,2025-07-19 20:07:59
SDT82,500,0.151419185,Soft Drinks,50.4,155.0,155.0,2025-07-19 20:07:59
BKE28,400,0.152918384,Breakfast,99.8,203.0,203.0,2025-07-19 20:07:59
MEI01,500,0.094659871,Meat,214.6,151.0,151.0,2025-07-19 20:07:59
FVB95,200,0.122918852,Fruits and Vegetables,173.1,110.0,110.0,2025-07-19 20:07:59
FVZ12,200,0.291865402,Fruits and Vegetables,115.2,209.0,209.0,2025-07-19 20:07:59
HHQ55,500,0.098312421,Health and Hygiene,81.5,181.0,181.0,2025-07-19 20:07:59
SDR20,1500,0.191013663,Soft Drinks,42.1,157.0,157.0,2025-07-19 20:07:59
BAW74,1000,0.176573035,Baking Goods,157.5,75.0,75.0,2025-07-19 20:07:59
HHB66,250,0.128478462,Health and Hygiene,117.9,117.0,117.0,2025-07-19 20:07:59
MEX10,1000,0.146399712,Meat,104.0,184.0,184.0,2025-07-19 20:07:59
FRF87,600,0.097313129,Frozen Foods,48.1,104.0,104.0,2025-07-19 20:07:59
DAL47,200,0.098663652,Dairy,62.9,121.0,121.0,2025-07-19 20:07:59
CAI62,800,0.101338651,Canned,232.6,99.0,99.0,2025-07-19 20:07:59
FRL20,400,0.165694219,Frozen Foods,39.7,285.0,285.0,2025-07-19 20:07:59
SFI66,75,0.150554711,Snack Foods,130.1,226.0,226.0,2025-07-19 20:07:59
FRA48,400,0.134975628,Frozen Foods,260.1,271.0,271.0,2025-07-19 20:07:59
MEZ47,500,0.15616879,Meat,160.7,135.0,135.0,2025-07-19 20:07:59
BAJ53,1000,0.133700752,Baking Goods,52.9,189.0,189.0,2025-07-19 20:07:59
BAY48,1000,0.115119905,Baking Goods,88.4,163.0,163.0,2025-07-19 20:07:59
FRW66,400,0.110030997,Frozen Foods,37.3,82.0,82.0,2025-07-19 20:07:59
