shelf_id,x,y,w,h,label,zone,aisle
FVA04,0.0,0.0,1.0,0.7,FVA04 (Fruits and Vegetables),🥬 Produce,1
FVA24,0.0,0.85,1.0,0.7,FVA24 (Fruits and Vegetables),🥬 Produce,1
FVA27,0.0,1.7,1.0,0.7,FVA27 (Fruits and Vegetables),🥬 Produce,1
FVA45,0.0,2.55,1.0,0.7,FVA45 (Fruits and Vegetables),🥬 Produce,1
FVA53,0.0,3.4,1.0,0.7,FVA53 (Fruits and Vegetables),🥬 Produce,1
FVA61,0.0,4.25,1.0,0.7,FVA61 (Fruits and Vegetables),🥬 Produce,1
FVA78,0.0,5.1,1.0,0.7,FVA78 (Fruits and Vegetables),🥬 Produce,1
FVA87,0.0,5.95,1.0,0.7,FVA87 (Fruits and Vegetables),🥬 Produce,1
FVA88,0.0,6.8,1.0,0.7,FVA88 (Fruits and Vegetables),🥬 Produce,1
FVB10,0.0,7.65,1.0,0.7,FVB10 (Fruits and Vegetables),🥬 Produce,1
FVB12,0.0,8.5,1.0,0.7,FVB12 (Fruits and Vegetables),🥬 Produce,1
FVB16,0.0,9.35,1.0,0.7,FVB16 (Fruits and Vegetables),🥬 Produce,1
FVB17,0.0,10.2,1.0,0.7,FVB17 (Fruits and Vegetables),🥬 Produce,1
FVB20,0.0,11.05,1.0,0.7,FVB20 (Fruits and Vegetables),🥬 Produce,1
FVB31,0.0,11.9,1.0,0.7,FVB31 (Fruits and Vegetables),🥬 Produce,1
FVB33,0.0,12.75,1.0,0.7,FVB33 (Fruits and Vegetables),🥬 Produce,1
FVB36,0.0,13.6,1.0,0.7,FVB36 (Fruits and Vegetables),🥬 Produce,1
FVB38,0.0,14.45,1.0,0.7,FVB38 (Fruits and Vegetables),🥬 Produce,1
FVB43,0.0,15.3,1.0,0.7,FVB43 (Fruits and Vegetables),🥬 Produce,1
FVB47,0.0,16.15,1.0,0.7,FVB47 (Fruits and Vegetables),🥬 Produce,1
FVB49,0.0,17.0,1.0,0.7,FVB49 (Fruits and Vegetables),🥬 Produce,1
FVB62,0.0,17.85,1.0,0.7,FVB62 (Fruits and Vegetables),🥬 Produce,1
