Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,initial_stock,current_stock
FDP10,11.68809968,0.127469857,Snack Foods,107.8,157,81
FDX32,15.1,0.1000135,Fruits and Vegetables,145.5,82,78
FDU02,13.35,0.10249212,Dairy,230.5,197,149
FDN22,18.85,0.138190277,Snack Foods,250.9,113,104
NCD06,13,0.099887103,Household,45.9,79,26
FDE51,5.925,0.161466534,Dairy,45.5,157,54
FDV38,19.25,0.170348551,Dairy,55.8,122,100
DRH01,17.5,0.097904029,Soft Drinks,174.9,158,59
DRZ11,8.85,0.113123893,Soft Drinks,122.5,194,108
FDX10,0,0.123111453,Snack Foods,37,149,119
FDU02,13.35,0.102511504,Dairy,230.6,63,9
FDA46,13.6,0.117818348,Snack Foods,192.9,68,24
FDL12,15.85,0.121632721,Baking Goods,60.6,120,84
FDS02,0,0.255394896,Dairy,196.9,108,77
FDM40,10.195,0.159803853,Frozen Foods,141.5,146,85
FDY21,15.1,0.173481304,Snack Foods,194.5,93,25
FDY40,0,0.15028599,Frozen Foods,51.1,160,107
FDC46,17.7,0.195068226,Snack Foods,185.4,60,10
NCI17,8.645,0.143422643,Health and Hygiene,95.8,155,118
FDJ58,15.6,0.105296072,Snack Foods,170.2,51,6
FDL12,15.85,0.121531501,Baking Goods,59.2,174,144
NCZ18,7.825,0.186357148,Household,254.4,194,6
FDN48,0,0.113720344,Baking Goods,90,143,74
FDL04,19,0.112556507,Frozen Foods,105,142,57
NCL18,0,0.293417759,Household,194.6,53,15
FDG20,15.5,0.12639886,Fruits and Vegetables,177,112,50
FDN33,6.305,0.123115764,Snack Foods,95.6,78,26
DRG27,8.895,0.105274111,Dairy,39.9,68,50
FDF41,12.15,0.131383762,Frozen Foods,246,140,74
FDW57,8.31,0.115857223,Snack Foods,179.1,78,15
FDA47,10.5,0.116576702,Baking Goods,163.1,165,86
DRE60,0,0.278974075,Soft Drinks,225.4,119,59
FDZ16,16.85,0.160760054,Frozen Foods,192.4,172,122
FDB14,20.25,0.171938781,Canned,92.5,72,39
DRI49,14.15,0.183507295,Soft Drinks,82.4,95,66
FDV38,19.25,0.102349519,Dairy,52.8,57,1
NCR53,0,0.144338493,Health and Hygiene,224.4,115,101
FDA45,21.25,0.155350299,Snack Foods,178.2,149,92
DRJ25,14.6,0.151419185,Soft Drinks,50.4,110,110
FDN13,18.6,0.152918384,Breakfast,99.8,161,109
FDW51,6.155,0.094659871,Meat,214.6,101,97
FDK44,16.6,0.122918852,Fruits and Vegetables,173.1,85,83
FDI32,17.7,0.291865402,Fruits and Vegetables,115.2,161,81
NCU05,11.8,0.098312421,Health and Hygiene,81.5,136,77
DRY23,11.68809968,0.191013663,Soft Drinks,42.1,134,1
FDO24,11.1,0.176573035,Baking Goods,157.5,62,0
NCO17,11.68809968,0.128478462,Health and Hygiene,117.9,96,19
FDV15,10.3,0.146399712,Meat,104,139,33
FDB41,19,0.097313129,Frozen Foods,48.1,71,40
FDE40,11.68809968,0.098663652,Dairy,62.9,107,40
FDX49,11.68809968,0.101338651,Canned,232.6,79,74
FDX40,12.85,0.165694219,Frozen Foods,39.7,195,22
FDE10,6.67,0.150554711,Snack Foods,130.1,155,37
FDP28,13.65,0.134975628,Frozen Foods,260.1,195,171
FDX15,17.2,0.15616879,Meat,160.7,123,66
FDY24,4.88,0.133700752,Baking Goods,52.9,143,61
FDC60,5.425,0.115119905,Baking Goods,88.4,120,11
FDH28,15.85,0.110030997,Frozen Foods,37.3,56,29
FDX25,100,0.101561568,Canned,181.9,114,94
FDG33,0,0.13956116,Seafood,170.5,95,86
FDL56,14.1,0.126035694,Fruits and Vegetables,86.4,67,64
NCD06,13,0.099325278,Household,45.4,190,168
NCR38,17.25,0.113748685,Household,251.4,57,19
FDL20,17.1,0.128937661,Fruits and Vegetables,112.4,123,117
FDG08,13.15,0.165694678,Fruits and Vegetables,171.9,194,5
FDQ04,0,0.148392623,Frozen Foods,41.6,151,74
FDW13,8.5,0.098438394,Canned,51.1,128,92
NCI17,8.645,0.143303291,Health and Hygiene,96.3,128,9
FDS12,9.1,0.175103435,Baking Goods,127.5,170,50
FDY38,13.6,0.119418124,Dairy,231,112,92
FDQ56,6.59,0.10550944,Fruits and Vegetables,85.7,89,37
NCZ18,7.825,0.186032678,Household,253.1,133,128
FDJ08,0,0.193772568,Fruits and Vegetables,190.4,64,7
NCD06,13,0.099729888,Household,46.3,148,101
NCT54,8.695,0.119721451,Household,95.5,183,80
FDV60,0,0.11679292,Baking Goods,196.2,170,82
FDV20,0,0.104704537,Fruits and Vegetables,125.3,112,62
FDO23,17.85,0.147023834,Breads,93.7,185,160
DRE60,9.395,0.159657596,Soft Drinks,225,177,142
