Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,initial_stock,current_stock
FDA15,9.3,0.016047301,Dairy,249.8,1626,682
DRC01,5.92,0.019278216,Soft Drinks,48.3,1959,1406
FDN15,17.5,0.016760075,Meat,141.6,1360,1185
FDX07,19.2,0.0,Fruits and Vegetables,182.1,1794,996
NCD19,8.93,0.0,Household,53.9,1630,285
FDP36,10.395,0.0,Baking Goods,51.4,1595,1094
FDO10,13.65,0.012741089,Snack Foods,57.7,1544,1477
FDP10,11.68809968,0.127469857,Snack Foods,107.8,621,566
FDH17,16.2,0.016687114,Frozen Foods,97.0,966,834
FDU28,19.2,0.09444959,Frozen Foods,187.8,1738,396
FDY07,11.8,0.0,Fruits and Vegetables,45.5,830,514
FDA03,18.5,0.045463773,Dairy,144.1,1982,25
FDX32,15.1,0.1000135,Fruits and Vegetables,145.5,587,312
FDS46,17.6,0.047257328,Snack Foods,119.7,1896,125
FDF32,16.35,0.0680243,Fruits and Vegetables,196.4,1623,1431
FDP49,9.0,0.069088961,Breakfast,56.4,1371,1221
NCB42,11.8,0.008596051,Health and Hygiene,115.3,630,187
FDP49,9.0,0.069196376,Breakfast,54.4,1832,697
DRI11,11.68809968,0.034237682,Hard Drinks,113.3,1269,809
FDU02,13.35,0.10249212,Dairy,230.5,843,715
FDN22,18.85,0.138190277,Snack Foods,250.9,1937,1507
FDW12,11.68809968,0.035399923,Baking Goods,144.5,1305,449
NCB30,14.6,0.025698134,Household,196.5,885,522
FDC37,11.68809968,0.057556998,Baking Goods,107.7,1715,1377
FDR28,13.85,0.025896485,Frozen Foods,165.0,1455,985
NCD06,13.0,0.099887103,Household,45.9,776,657
FDV10,7.645,0.066693437,Snack Foods,42.3,1684,596
DRJ59,11.65,0.019356132,Hard Drinks,39.1,959,99
FDE51,5.925,0.161466534,Dairy,45.5,1837,615
FDC14,11.68809968,0.072221801,Canned,43.6,521,277
FDV38,19.25,0.170348551,Dairy,55.8,752,692
NCS17,18.6,0.080829372,Health and Hygiene,96.4,1247,490
FDP33,18.7,0.0,Snack Foods,256.7,1356,254
FDO23,17.85,0.0,Breads,93.1,974,380
DRH01,17.5,0.097904029,Soft Drinks,174.9,1582,891
NCX29,10.0,0.089291137,Health and Hygiene,146.7,1010,541
FDV20,0.0,0.059511812,Fruits and Vegetables,128.1,1999,1287
DRZ11,8.85,0.113123893,Soft Drinks,122.5,1199,824
FDX10,0.0,0.123111453,Snack Foods,37.0,1475,878
FDB34,0.0,0.026480954,Snack Foods,87.6,689,328
FDU02,13.35,0.102511504,Dairy,230.6,1457,1138
FDK43,9.8,0.02681843,Meat,126.0,1186,280
FDA46,13.6,0.117818348,Snack Foods,192.9,1457,1298
FDC02,21.35,0.069102831,Canned,259.9,1062,772
FDL50,12.15,0.042277867,Canned,126.5,1767,842
FDM39,6.42,0.089498926,Dairy,178.1,1331,718
NCP05,19.6,0.0,Health and Hygiene,153.3,1654,327
FDV49,10.0,0.025879577,Canned,265.2,1146,210
FDL12,15.85,0.121632721,Baking Goods,60.6,520,25
FDS02,0.0,0.255394896,Dairy,196.9,1340,26
NCL17,7.39,0.067779712,Health and Hygiene,143.9,666,82
FDM40,10.195,0.159803853,Frozen Foods,141.5,1797,681
FDR13,9.895,0.028696932,Canned,117.0,887,412
FDA43,10.895,0.065041581,Fruits and Vegetables,196.4,1100,166
NCP18,12.15,0.028760013,Household,151.5,815,699
FDK21,7.905,0.010053105,Snack Foods,249.0,513,168
NCX54,9.195,0.048157338,Household,106.2,741,228
DRK35,8.365,0.071958197,Hard Drinks,38.1,1276,366
FDY21,15.1,0.173481304,Snack Foods,194.5,1869,527
FDI26,0.0,0.061082177,Canned,180.0,1064,790
FDM20,10.0,0.0,Fruits and Vegetables,246.9,1397,523
FDV27,7.97,0.040071131,Meat,138.5,1863,1095
FDF09,0.0,0.012090074,Fruits and Vegetables,38.3,591,105
FDY40,0.0,0.15028599,Frozen Foods,51.1,1890,731
FDY45,0.0,0.026015519,Snack Foods,255.8,1455,964
FDC46,17.7,0.195068226,Snack Foods,185.4,1978,1712
FDH19,19.35,0.033082215,Meat,172.6,1951,1305
FDZ03,13.65,0.078946455,Dairy,186.0,1008,132
DRH37,17.6,0.041700756,Soft Drinks,164.9,1275,533
NCI17,8.645,0.143422643,Health and Hygiene,95.8,534,268
FDJ58,15.6,0.105296072,Snack Foods,170.2,705,411
FDL12,15.85,0.121531501,Baking Goods,59.2,1604,672
FDH35,18.25,0.0,Starchy Foods,164.8,1911,1642
FDG02,7.855,0.011324862,Canned,189.6,1525,790
NCZ18,7.825,0.186357148,Household,254.4,1521,17
FDC29,8.39,0.024205661,Frozen Foods,114.0,1913,1777
FDQ10,12.85,0.033230816,Snack Foods,172.3,1065,116
FDN48,0.0,0.113720344,Baking Goods,90.0,1629,797
FDL04,19.0,0.112556507,Frozen Foods,105.0,2000,1817
FDV25,5.905,0.0,Canned,222.5,1202,1167
FDD58,7.76,0.059352241,Snack Foods,101.9,901,716
FDN04,11.8,0.014087057,Frozen Foods,180.3,1229,550
FDV45,16.75,0.045230944,Snack Foods,188.0,661,421
NCL18,0.0,0.293417759,Household,194.6,701,368
FDR12,0.0,0.031382044,Baking Goods,171.4,1495,645
FDG20,15.5,0.12639886,Fruits and Vegetables,177.0,769,557
FDZ55,6.055,0.025403898,Fruits and Vegetables,161.0,1315,49
FDQ49,0.0,0.039057677,Breakfast,156.0,1794,677
FDN33,6.305,0.123115764,Snack Foods,95.6,955,105
FDN27,20.85,0.039624006,Meat,117.3,1985,1239
FDW20,20.75,0.040421193,Fruits and Vegetables,122.2,1775,657
DRG27,8.895,0.105274111,Dairy,39.9,1516,1448
DRI25,19.6,0.033970195,Soft Drinks,55.2,795,71
FDA44,19.7,0.053212652,Fruits and Vegetables,57.9,1219,987
NCR17,9.8,0.024378706,Health and Hygiene,114.5,837,784
FDU04,0.0,0.009714595,Frozen Foods,120.0,1378,445
FDF41,12.15,0.131383762,Frozen Foods,246.0,1576,1209
FDB56,8.75,0.07461309,Fruits and Vegetables,187.5,1291,69
NCP18,0.0,0.028459761,Household,150.0,716,149
FDB56,8.75,0.074627201,Fruits and Vegetables,187.9,1263,773
FDT28,13.3,0.063695084,Frozen Foods,151.1,687,537
FDD10,0.0,0.045797829,Snack Foods,178.5,879,651
FDW57,8.31,0.115857223,Snack Foods,179.1,992,98
DRB48,16.75,0.024832806,Soft Drinks,38.8,1564,1301
FDP09,19.75,0.034027909,Snack Foods,212.1,1680,1586
